timestamp,location,lat,lon,IWV,CAPE,CIN,wind,convergence,CTT,rainfall,storm,lead_time_mins
2026-08-02 13:00,Kedarnath (Garhwal),30.7346,79.0669,53.9,2198,-20.7,40.4,1.77,220.4,14.9,1,0
2026-08-02 14:00,Kedarnath (Garhwal),30.7346,79.0669,51.7,2060,-23.7,38.1,1.65,223.9,13.6,1,0
2026-08-02 15:00,Kedarnath (Garhwal),30.7346,79.0669,50.6,1921,-26.8,35.8,1.54,227.3,12.5,1,0
2026-08-02 16:00,Kedarnath (Garhwal),30.7346,79.0669,49.4,1783,-29.9,33.5,1.42,230.8,10.6,1,0
2026-08-02 17:00,Kedarnath (Garhwal),30.7346,79.0669,46.1,1644,-33.0,31.2,1.31,234.3,9.7,0,0
2026-08-02 18:00,Kedarnath (Garhwal),30.7346,79.0669,45.0,1506,-36.0,28.8,1.19,237.7,8.7,0,0
2026-08-02 19:00,Kedarnath (Garhwal),30.7346,79.0669,43.3,1367,-39.1,26.5,1.08,241.2,7.6,0,0
2026-08-02 20:00,Kedarnath (Garhwal),30.7346,79.0669,41.3,1229,-42.2,24.2,0.96,244.7,5.3,0,0
2026-08-02 21:00,Kedarnath (Garhwal),30.7346,79.0669,39.9,1090,-45.3,21.9,0.85,248.1,4.4,0,0
2026-08-02 22:00,Kedarnath (Garhwal),30.7346,79.0669,37.3,952,-48.3,19.6,0.73,251.6,3.0,0,0
2026-08-02 23:00,Kedarnath (Garhwal),30.7346,79.0669,36.1,813,-51.4,17.3,0.62,255.0,1.4,0,0
